freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.539e+01,6.345e+00,4.963e+00,6.669e+01
1.5,5.065e+01,2.582e+01,2.282e+01,9.929e+01
3.1,3.514e+01,3.171e+01,2.788e+01,9.473e+01
4.6,2.697e+02,3.054e+01,2.902e+01,3.293e+02
6.2,9.293e+02,4.367e+01,2.853e+01,1.002e+03
7.7,1.552e+03,6.136e+01,2.613e+01,1.640e+03
9.3,2.175e+03,8.619e+01,2.670e+01,2.287e+03
10.8,2.858e+03,1.038e+02,3.323e+01,2.995e+03
12.4,3.492e+03,8.148e+01,3.747e+01,3.611e+03
13.9,3.855e+03,8.355e+01,3.870e+01,3.978e+03
15.5,4.390e+03,1.066e+02,4.654e+01,4.543e+03
17.0,5.073e+03,1.136e+02,5.616e+01,5.242e+03
18.6,5.928e+03,1.234e+02,6.346e+01,6.115e+03
20.1,6.032e+03,1.295e+02,6.197e+01,6.224e+03
21.7,5.363e+03,1.480e+02,5.101e+01,5.562e+03
23.2,6.081e+03,1.923e+02,4.644e+01,6.320e+03
24.8,7.397e+03,2.508e+02,4.457e+01,7.692e+03
26.3,9.483e+03,3.163e+02,5.510e+01,9.854e+03
27.9,1.298e+04,4.137e+02,7.848e+01,1.347e+04
29.4,1.948e+04,7.310e+02,1.213e+02,2.033e+04
31.0,2.977e+04,1.367e+03,2.089e+02,3.134e+04
32.5,3.666e+04,1.670e+03,3.691e+02,3.870e+04
34.1,3.668e+04,1.243e+03,3.178e+02,3.824e+04
35.6,3.734e+04,7.632e+02,1.760e+02,3.828e+04
37.1,3.534e+04,7.726e+02,1.388e+02,3.625e+04
38.7,3.999e+04,8.792e+02,9.892e+01,4.096e+04
40.2,4.151e+04,6.412e+02,8.340e+01,4.223e+04
41.8,3.696e+04,4.390e+02,7.597e+01,3.748e+04
43.3,3.080e+04,2.958e+02,6.835e+01,3.116e+04
44.9,2.473e+04,2.458e+02,1.073e+02,2.508e+04
46.4,2.044e+04,2.126e+02,1.657e+02,2.082e+04
48.0,1.619e+04,1.434e+02,1.301e+02,1.646e+04
49.5,1.222e+04,1.101e+02,9.425e+01,1.242e+04
51.1,9.572e+03,9.448e+01,6.439e+01,9.731e+03
52.6,7.613e+03,9.447e+01,5.663e+01,7.764e+03
54.2,5.806e+03,7.058e+01,5.130e+01,5.928e+03
55.7,4.175e+03,6.265e+01,5.064e+01,4.288e+03
57.3,2.957e+03,5.367e+01,4.677e+01,3.058e+03
58.8,2.188e+03,9.028e+01,5.046e+01,2.328e+03
60.4,1.374e+03,1.563e+02,5.719e+01,1.588e+03
61.9,8.187e+02,2.027e+02,5.796e+01,1.079e+03
63.5,5.953e+02,2.736e+02,5.522e+01,9.241e+02
65.0,9.253e+02,3.894e+02,6.868e+01,1.383e+03
66.6,2.288e+03,6.131e+02,9.374e+01,2.995e+03
68.1,4.450e+03,9.025e+02,1.254e+02,5.478e+03
69.7,5.450e+03,1.138e+03,1.369e+02,6.725e+03
71.2,5.217e+03,1.399e+03,1.204e+02,6.736e+03
