freq,psd_x,psd_y,psd_z,psd_xyz
72.8,5.121e+03,1.217e+03,1.133e+02,6.451e+03
74.3,4.775e+03,7.027e+02,1.182e+02,5.596e+03
75.8,4.390e+03,3.480e+02,1.484e+02,4.886e+03
77.4,4.033e+03,3.343e+02,1.674e+02,4.535e+03
78.9,3.543e+03,6.130e+02,1.427e+02,4.298e+03
80.5,3.474e+03,1.134e+03,1.097e+02,4.718e+03
82.0,3.375e+03,1.612e+03,8.764e+01,5.075e+03
83.6,2.887e+03,1.739e+03,7.452e+01,4.700e+03
85.1,2.304e+03,1.866e+03,7.913e+01,4.249e+03
86.7,2.118e+03,1.971e+03,1.116e+02,4.201e+03
88.2,2.801e+03,1.644e+03,1.718e+02,4.616e+03
89.8,3.958e+03,1.051e+03,2.349e+02,5.244e+03
91.3,4.295e+03,6.462e+02,2.599e+02,5.201e+03
92.9,4.274e+03,4.455e+02,2.513e+02,4.971e+03
94.4,4.105e+03,3.708e+02,2.629e+02,4.738e+03
96.0,3.858e+03,3.622e+02,2.734e+02,4.494e+03
97.5,3.818e+03,5.547e+02,3.090e+02,4.682e+03
99.1,8.819e+03,3.035e+03,5.604e+02,1.241e+04
100.6,1.562e+04,5.785e+03,8.609e+02,2.227e+04
102.2,5.732e+03,1.390e+03,5.037e+02,7.626e+03
103.7,3.241e+03,2.133e+02,3.477e+02,3.802e+03
105.3,2.963e+03,1.717e+02,3.598e+02,3.495e+03
106.8,2.730e+03,1.765e+02,3.734e+02,3.280e+03
108.4,2.781e+03,2.199e+02,4.225e+02,3.424e+03
109.9,4.347e+03,6.691e+02,7.607e+02,5.776e+03
111.4,4.070e+03,5.168e+02,7.126e+02,5.300e+03
113.0,2.928e+03,1.380e+02,5.490e+02,3.615e+03
114.5,2.963e+03,1.388e+02,6.557e+02,3.757e+03
116.1,3.056e+03,1.746e+02,7.752e+02,4.006e+03
117.6,3.139e+03,1.939e+02,9.741e+02,4.307e+03
119.2,3.187e+03,2.033e+02,1.229e+03,4.620e+03
120.7,3.108e+03,2.876e+02,1.398e+03,4.793e+03
122.3,3.033e+03,4.337e+02,1.565e+03,5.032e+03
123.8,3.054e+03,6.883e+02,1.760e+03,5.501e+03
125.4,3.114e+03,9.870e+02,1.930e+03,6.031e+03
126.9,3.287e+03,1.215e+03,2.038e+03,6.541e+03
128.5,3.397e+03,1.327e+03,2.189e+03,6.912e+03
130.0,3.417e+03,1.331e+03,2.381e+03,7.129e+03
131.6,3.088e+03,1.060e+03,2.196e+03,6.343e+03
133.1,1.559e+03,4.985e+02,1.144e+03,3.202e+03
134.7,2.625e+02,1.114e+02,2.106e+02,5.844e+02
136.2,1.823e+02,8.262e+01,1.218e+02,3.867e+02
137.8,1.775e+02,8.380e+01,1.045e+02,3.657e+02
139.3,1.618e+02,8.660e+01,8.943e+01,3.379e+02
140.9,1.568e+02,8.703e+01,9.225e+01,3.361e+02
142.4,1.645e+02,9.619e+01,9.461e+01,3.553e+02
144.0,1.695e+02,1.072e+02,8.708e+01,3.638e+02
145.5,1.749e+02,1.194e+02,8.558e+01,3.799e+02
147.1,1.956e+02,1.252e+02,8.597e+01,4.068e+02
148.6,2.204e+02,1.333e+02,9.036e+01,4.440e+02
150.1,2.346e+02,1.382e+02,8.944e+01,4.623e+02
151.7,2.679e+02,1.450e+02,9.937e+01,5.123e+02
153.2,3.170e+02,1.610e+02,1.019e+02,5.799e+02
154.8,3.424e+02,1.574e+02,9.548e+01,5.953e+02
156.3,3.347e+02,1.597e+02,9.431e+01,5.886e+02
157.9,3.475e+02,1.648e+02,1.009e+02,6.132e+02
159.4,3.410e+02,1.702e+02,9.245e+01,6.037e+02
161.0,3.173e+02,1.620e+02,8.767e+01,5.670e+02
162.5,2.868e+02,1.419e+02,8.061e+01,5.093e+02
164.1,2.758e+02,1.149e+02,7.923e+01,4.699e+02
165.6,2.708e+02,8.459e+01,7.795e+01,4.333e+02
167.2,2.531e+02,6.540e+01,7.027e+01,3.887e+02
168.7,1.956e+02,8.541e+01,6.002e+01,3.410e+02
170.3,1.607e+02,9.943e+01,5.474e+01,3.148e+02
171.8,1.510e+02,1.234e+02,5.267e+01,3.271e+02
173.4,1.715e+02,1.544e+02,4.855e+01,3.745e+02
174.9,2.202e+02,2.297e+02,4.558e+01,4.954e+02
176.5,2.317e+02,2.889e+02,4.615e+01,5.667e+02
178.0,2.512e+02,3.301e+02,4.298e+01,6.244e+02
179.6,2.886e+02,4.004e+02,4.551e+01,7.345e+02
181.1,2.854e+02,4.625e+02,5.014e+01,7.980e+02
182.7,2.605e+02,4.989e+02,4.578e+01,8.051e+02
184.2,2.264e+02,4.670e+02,4.019e+01,7.336e+02
185.7,2.287e+02,4.319e+02,4.011e+01,7.007e+02
187.3,2.214e+02,3.615e+02,4.739e+01,6.302e+02
188.8,2.404e+02,2.672e+02,5.311e+01,5.606e+02
190.4,3.203e+02,1.996e+02,6.240e+01,5.823e+02
191.9,4.104e+02,1.847e+02,7.842e+01,6.736e+02
193.5,4.737e+02,2.016e+02,9.013e+01,7.654e+02
195.0,5.366e+02,2.425e+02,9.243e+01,8.715e+02
196.6,5.497e+02,2.223e+02,1.050e+02,8.771e+02
198.1,5.293e+02,2.244e+02,1.254e+02,8.792e+02
199.7,8.722e+02,8.366e+02,3.084e+02,2.017e+03
