freq,psd_x,psd_y,psd_z,psd_xyz
142.4,2.623e+01,1.420e+02,4.976e+01,2.180e+02
143.9,2.750e+01,1.663e+02,4.268e+01,2.365e+02
145.5,2.711e+01,1.891e+02,3.800e+01,2.542e+02
147.0,3.346e+01,2.354e+02,4.888e+01,3.178e+02
148.6,3.523e+01,3.033e+02,5.276e+01,3.913e+02
150.1,3.127e+01,3.461e+02,5.008e+01,4.275e+02
151.7,3.432e+01,3.553e+02,6.437e+01,4.540e+02
153.2,3.916e+01,3.673e+02,8.914e+01,4.956e+02
154.8,3.292e+01,3.394e+02,6.230e+01,4.346e+02
156.3,2.575e+01,2.997e+02,4.813e+01,3.736e+02
157.9,2.743e+01,2.716e+02,5.405e+01,3.531e+02
159.4,2.886e+01,2.808e+02,5.200e+01,3.617e+02
161.0,3.250e+01,3.181e+02,4.509e+01,3.957e+02
162.5,3.707e+01,3.784e+02,4.247e+01,4.580e+02
164.1,3.539e+01,4.269e+02,4.105e+01,5.033e+02
165.6,3.615e+01,4.081e+02,3.672e+01,4.810e+02
167.2,4.149e+01,3.802e+02,3.387e+01,4.556e+02
168.7,4.340e+01,3.568e+02,3.234e+01,4.326e+02
170.3,4.168e+01,3.177e+02,3.170e+01,3.911e+02
171.8,4.299e+01,2.944e+02,3.049e+01,3.678e+02
173.4,4.243e+01,2.662e+02,3.168e+01,3.403e+02
174.9,4.056e+01,2.588e+02,3.192e+01,3.312e+02
176.4,4.155e+01,2.511e+02,3.110e+01,3.238e+02
178.0,3.592e+01,2.495e+02,3.297e+01,3.184e+02
179.5,2.835e+01,2.445e+02,3.309e+01,3.059e+02
181.1,3.103e+01,2.486e+02,3.186e+01,3.115e+02
182.6,3.781e+01,2.446e+02,3.023e+01,3.126e+02
184.2,4.158e+01,2.163e+02,3.040e+01,2.883e+02
185.7,4.628e+01,1.881e+02,3.497e+01,2.693e+02
187.3,5.101e+01,1.751e+02,4.238e+01,2.685e+02
188.8,5.370e+01,1.566e+02,4.416e+01,2.544e+02
190.4,4.783e+01,1.379e+02,4.222e+01,2.279e+02
191.9,4.831e+01,1.820e+02,4.112e+01,2.714e+02
193.5,7.623e+01,2.802e+02,5.256e+01,4.089e+02
195.0,1.279e+02,3.355e+02,6.741e+01,5.308e+02
196.6,1.414e+02,3.195e+02,7.436e+01,5.352e+02
198.1,2.987e+02,4.816e+02,1.223e+02,9.025e+02
199.7,7.761e+02,8.140e+02,2.655e+02,1.856e+03
