freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.752e+00,2.928e+01,7.528e+00,4.356e+01
1.5,2.554e+01,3.636e+01,3.277e+01,9.467e+01
3.1,2.806e+01,3.186e+01,4.138e+01,1.013e+02
4.6,2.869e+01,1.376e+02,4.147e+01,2.078e+02
6.2,3.235e+01,4.221e+02,4.446e+01,4.989e+02
7.7,3.493e+01,6.613e+02,5.375e+01,7.499e+02
9.3,3.579e+01,9.043e+02,6.673e+01,1.007e+03
10.8,4.402e+01,1.233e+03,8.458e+01,1.362e+03
12.4,5.351e+01,1.732e+03,1.057e+02,1.891e+03
13.9,5.386e+01,1.939e+03,1.365e+02,2.129e+03
15.5,5.633e+01,2.058e+03,1.659e+02,2.280e+03
17.0,8.704e+01,2.411e+03,1.850e+02,2.683e+03
18.6,1.297e+02,3.115e+03,2.172e+02,3.462e+03
20.1,1.746e+02,3.940e+03,2.584e+02,4.373e+03
21.7,2.244e+02,4.932e+03,3.073e+02,5.464e+03
23.2,3.178e+02,6.340e+03,3.880e+02,7.045e+03
24.8,5.896e+02,8.745e+03,4.915e+02,9.826e+03
26.3,1.060e+03,1.226e+04,6.135e+02,1.393e+04
27.8,1.473e+03,1.603e+04,7.130e+02,1.821e+04
29.4,2.088e+03,1.867e+04,8.022e+02,2.156e+04
30.9,2.365e+03,2.025e+04,9.162e+02,2.353e+04
32.5,2.657e+03,1.850e+04,1.031e+03,2.219e+04
34.0,2.264e+03,1.727e+04,1.030e+03,2.057e+04
35.6,1.466e+03,1.892e+04,9.243e+02,2.131e+04
37.1,1.146e+03,1.925e+04,7.451e+02,2.114e+04
38.7,7.799e+02,1.471e+04,3.993e+02,1.589e+04
40.2,4.910e+02,1.066e+04,3.200e+02,1.147e+04
41.8,3.184e+02,7.345e+03,4.069e+02,8.070e+03
43.3,1.687e+02,4.318e+03,7.243e+02,5.211e+03
44.9,2.012e+02,2.089e+03,1.829e+03,4.119e+03
46.4,5.042e+02,8.955e+02,3.013e+03,4.413e+03
48.0,4.409e+02,4.696e+02,1.662e+03,2.572e+03
49.5,1.654e+02,2.603e+02,3.350e+02,7.608e+02
51.1,6.145e+01,1.437e+02,9.230e+01,2.975e+02
52.6,5.005e+01,1.226e+02,8.655e+01,2.592e+02
54.2,7.132e+01,1.482e+02,1.206e+02,3.401e+02
55.7,1.350e+02,1.230e+02,1.567e+02,4.147e+02
57.2,2.361e+02,1.083e+02,1.922e+02,5.366e+02
58.8,2.218e+02,1.283e+02,2.265e+02,5.766e+02
60.3,1.791e+02,1.791e+02,2.641e+02,6.222e+02
61.9,2.524e+02,2.405e+02,2.864e+02,7.793e+02
63.4,2.962e+02,2.964e+02,3.079e+02,9.004e+02
65.0,2.873e+02,4.118e+02,3.035e+02,1.003e+03
66.5,3.957e+02,5.886e+02,3.288e+02,1.313e+03
68.1,5.057e+02,6.842e+02,3.546e+02,1.544e+03
69.6,5.895e+02,6.758e+02,4.003e+02,1.666e+03
