freq,psd_x,psd_y,psd_z,psd_xyz
71.2,6.838e+02,7.578e+02,4.422e+02,1.884e+03
72.7,9.186e+02,9.097e+02,4.937e+02,2.322e+03
74.3,1.083e+03,1.035e+03,5.451e+02,2.663e+03
75.8,1.132e+03,1.131e+03,6.024e+02,2.865e+03
77.4,1.152e+03,1.156e+03,6.610e+02,2.969e+03
78.9,1.136e+03,1.116e+03,7.043e+02,2.956e+03
80.5,1.154e+03,1.058e+03,7.417e+02,2.953e+03
82.0,1.178e+03,1.089e+03,7.822e+02,3.049e+03
83.5,1.132e+03,1.126e+03,7.930e+02,3.051e+03
85.1,1.046e+03,1.084e+03,7.223e+02,2.853e+03
86.6,1.378e+03,9.584e+02,7.428e+02,3.079e+03
88.2,1.515e+03,9.525e+02,7.044e+02,3.172e+03
89.7,1.381e+03,8.840e+02,6.941e+02,2.960e+03
91.3,1.253e+03,7.553e+02,7.034e+02,2.712e+03
92.8,1.135e+03,6.531e+02,6.665e+02,2.455e+03
94.4,9.959e+02,5.804e+02,6.149e+02,2.191e+03
95.9,8.770e+02,5.178e+02,5.426e+02,1.937e+03
97.5,7.586e+02,5.406e+02,5.147e+02,1.814e+03
99.0,6.706e+02,6.018e+02,5.018e+02,1.774e+03
100.6,6.500e+02,7.233e+02,5.033e+02,1.877e+03
102.1,6.217e+02,8.018e+02,4.754e+02,1.899e+03
103.7,1.024e+03,1.765e+03,5.226e+02,3.311e+03
105.2,7.156e+03,1.611e+04,1.425e+03,2.469e+04
106.8,5.015e+03,1.140e+04,1.111e+03,1.753e+04
108.3,4.647e+02,7.667e+02,3.617e+02,1.593e+03
109.8,2.819e+02,4.568e+02,2.946e+02,1.033e+03
111.4,2.438e+02,4.448e+02,2.455e+02,9.341e+02
112.9,2.298e+02,4.685e+02,2.182e+02,9.166e+02
114.5,2.301e+02,4.781e+02,2.272e+02,9.354e+02
116.0,2.426e+02,4.109e+02,2.162e+02,8.698e+02
117.6,2.726e+02,4.000e+02,2.110e+02,8.836e+02
119.1,2.943e+02,3.616e+02,1.998e+02,8.557e+02
120.7,2.963e+02,3.555e+02,1.810e+02,8.328e+02
122.2,2.759e+02,3.773e+02,1.631e+02,8.163e+02
123.8,2.790e+02,3.890e+02,1.614e+02,8.293e+02
125.3,3.058e+02,4.026e+02,1.541e+02,8.624e+02
126.9,3.145e+02,4.053e+02,1.658e+02,8.856e+02
128.4,3.356e+02,4.109e+02,1.799e+02,9.263e+02
130.0,3.473e+02,3.790e+02,1.609e+02,8.872e+02
131.5,3.424e+02,3.291e+02,1.408e+02,8.123e+02
133.1,2.887e+02,2.871e+02,1.015e+02,6.773e+02
134.6,2.205e+02,2.599e+02,8.050e+01,5.609e+02
136.1,1.948e+02,2.419e+02,8.302e+01,5.198e+02
137.7,1.950e+02,2.299e+02,7.916e+01,5.040e+02
139.2,2.270e+02,2.287e+02,8.042e+01,5.362e+02
140.8,2.504e+02,2.163e+02,8.849e+01,5.551e+02
142.3,2.906e+02,1.986e+02,1.028e+02,5.921e+02
143.9,3.894e+02,2.386e+02,1.406e+02,7.685e+02
145.4,4.325e+02,2.638e+02,1.685e+02,8.648e+02
147.0,4.222e+02,2.765e+02,1.575e+02,8.563e+02
148.5,3.617e+02,2.937e+02,1.556e+02,8.111e+02
150.1,3.362e+02,2.972e+02,1.686e+02,8.020e+02
151.6,3.484e+02,2.893e+02,1.673e+02,8.050e+02
153.2,3.604e+02,2.846e+02,1.689e+02,8.140e+02
154.7,3.924e+02,2.618e+02,1.889e+02,8.432e+02
156.3,4.313e+02,2.785e+02,2.316e+02,9.414e+02
157.8,4.340e+02,3.036e+02,2.772e+02,1.015e+03
159.4,4.183e+02,2.996e+02,3.289e+02,1.047e+03
160.9,4.259e+02,2.711e+02,3.348e+02,1.032e+03
162.5,3.796e+02,2.415e+02,3.122e+02,9.333e+02
164.0,2.953e+02,2.307e+02,2.987e+02,8.247e+02
165.5,2.212e+02,2.228e+02,2.918e+02,7.358e+02
167.1,2.007e+02,2.126e+02,3.189e+02,7.321e+02
168.6,2.005e+02,2.178e+02,3.454e+02,7.637e+02
170.2,1.900e+02,2.168e+02,3.437e+02,7.505e+02
171.7,1.874e+02,2.065e+02,3.341e+02,7.280e+02
173.3,1.857e+02,1.968e+02,3.305e+02,7.130e+02
174.8,1.758e+02,1.696e+02,3.232e+02,6.686e+02
176.4,1.646e+02,1.376e+02,2.958e+02,5.980e+02
177.9,1.612e+02,1.237e+02,2.913e+02,5.762e+02
179.5,1.547e+02,1.173e+02,2.907e+02,5.627e+02
181.0,1.239e+02,1.159e+02,2.783e+02,5.181e+02
182.6,1.169e+02,1.084e+02,2.747e+02,5.000e+02
184.1,1.124e+02,8.985e+01,2.563e+02,4.586e+02
185.7,9.735e+01,7.191e+01,2.167e+02,3.859e+02
187.2,8.902e+01,6.636e+01,2.071e+02,3.625e+02
188.8,9.124e+01,6.479e+01,2.083e+02,3.643e+02
190.3,9.061e+01,6.611e+01,2.062e+02,3.630e+02
191.8,7.718e+01,6.131e+01,1.950e+02,3.335e+02
193.4,6.703e+01,5.424e+01,1.626e+02,2.839e+02
194.9,5.304e+01,4.737e+01,1.380e+02,2.384e+02
196.5,5.106e+01,4.579e+01,1.251e+02,2.219e+02
198.0,4.792e+01,4.381e+01,1.111e+02,2.028e+02
199.6,4.709e+01,5.061e+01,1.029e+02,2.006e+02
